OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
911,8055,Mäkärä,Mäkäräselkä, , ,site(?), ,Finland,Lapin lääni,68.1864,26.8738, ,supergene,"saprolite, till", ,"REE, Au", , , , ,Occurrence, ,"euxenite-(Y), monazite, allanite, xenotime, columbite, zircon, rhabdophane, kaolinite, bastnäsite, cerite","gold, columbite, zircon, hematite, goethite","kaolinite, albite, chlorite, epidote, garnet, kyanite",,,,,kaolinitic saprolite,,arkosic gneiss,,,"Bedrock is covered by a thick kaolinitic saprolite overlain by clay rich till enriched in La and Y; 0.05 to 0.4% REE in saprolite, but REE also elevated in bedrock; the Au concentration and highest REE concentrations occur separately.",Al-Ani and Sarapää (2011a); Al-Ani and Sarapää (2013); Al-Ani and Sarapää (2014a); EURARE (2014b); Sarapää and others (2013); Sarapää and Sarala (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
912,8056,Mäkärä,Mäkäräselkä, , ,site(?), ,Finland,Lapin lääni,68.1864,26.8738, ,metamorphic,arkosic gneiss-hosted, ,"REE, Au", , , , ,Showing, ,allanite,"zircon, magnetite, ilmenite, Au","biotite, (hornblende), plagioclase, quartz",,,,,arkosic gneiss,,,,,Bedrock is covered by a thick kaolinitic saprolite overlain by clay rich till enriched in La and Y; REE also elevated in bedrock,Al-Ani (2012); Sarapää and Sarala (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
913,8275,Malmberget, , , ,site,Fe mine,Sweden,Norrbottens län,67.185,20.6728, ,iron oxide-apatite,"igneous magnetite-apatite, Kiruna", ,"Fe, P, REE", , , , ,Occurrence, ,"fluorapatite, monazite-(Ce), allanite-(Ce)","magnetite, hematite, apatite",corundum,Paleoproterozoic,,Paleoproterozoic,1600–2500 Ma,massive magnetite rock,,volcanic rock,,,,EURARE (2014g); Finland Geological Survey (2014); Frietsch and Perdahl (1995); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
914,8322,Malotersyanskii, , , ,intrusion or complex(?), ,Ukraine,Dnipropetrovs'ka Oblast',48.333,35.65, ,alkaline igneous, , ,REE, , , , ,Occurrence, ,"pyrochlore, bastnäsite, allanite","zircon, pyrochlore, U-pyrochlore, thorite","aegirine, albite, mica, carbonate",,,,"1740 Ma (K-Ar, amphibole, nepheline syenite)","syenite, foyaite",,,,,Probably associated with the Orekhovo-Pavlograd fault; REE occurs in metasomatic rocks.,Kogarko and others (1995),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
915,8323,Malyshevskoe, , , ,site,mine,Ukraine,Dnipropetrovs'ka Oblast',48.722,34.1161,Estimated location.,alluvial placer, , ,"Zr, Ti, REE, Th", , , , ,Occurrence(?), ,monazite,"zircon, ilmenite, rutile",,,,,,,,,,,,Dekusar and others (2012); Valter and others (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
916,8008,Markogel, , , ,site,historic granite quarry,Austria,Kärnten,46.657,13.7919, ,other igneous deposit,muscovite-rare element (LREE-Li) pegmatites,pegmatite,"GRT, Be, Nb, REE, Ta", , , , ,Showing, ,gadolinite-(Y),"autunite, beryl, loellingite, microlite, pyrochlore","apatite, biotite, quartz, fluorite, garnet, microcline, muscovite, tourmaline, zircon",,,,,"granite, pegmatite",,,tourmalinization,,,Demartin and others (1993); ProMine (2013),,,open pit (granite quarry),No production,,,,,,,,,,,,,,,,,,,,,Europe
917,8057,Meurastuksenaho,Mutka-Aho 4, ,Kuusamo,site, ,Finland,Pohjois-Pohjanmaa lääni,66.1985,29.0796, ,sedimentary, , ,"Au, Co, Cu, Mo, REE", , , , ,Showing, ,,"gold, pyrrhotite, pyrite, cobaltite, chalcopyrite, pentlandite, magnetite, bornite, covellite, molybdenite, ilmenite, rutile, uraninite",sericite,Paleoproterozoic: Rhyacian–Orosirian,,Paleoproterozoic: Siderian–Rhyacian,,"sericite quartzite, metamorphosed mafic volcanic rock, metasiltstone",,"mafic volcanic rock, komatiite, dolerite","biotite, sericite, other",Dragon Mining Oy,,Finland Geological Survey (2014); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
918,8149,Milne Land, , , ,site,site,Greenland,Kommuneqarfik Sermersooq,70.6853,-25.9195, ,paleoplacer,"paleoplacer, residual", ,"Zr, REE, Ti, GAR, Mo", , , , ,Deposit, ,"monazite, anatase, xenotime, zircon","zircon, garnet, ilmenite, rutile",,Middle Jurassic,,Jurassic,,"arkosic sandstone, breccia",Charcot Bugt Formation,,,Czech Geological Research Group (CGRG Ltd.),Deposit forms the lowest 20 m of the Charcot Bugt Formation.,Czech Geological Research Group (2015a); EURARE (2014c); EURARE (2017); GEUS (2014); Sorensen and Kalvig (2011); Thrane and others (2014),1968,,,No production,,,,,4 estimated,,0.6–1.2 est,,,,,,,,,"1-2 % of ZrO2, 3-6% TiO2",,Czech Geological Research Group (2015a),Not compliant,,Europe
919,8204,Misværdalen,Misværdal, , ,intrusion or complex,P deposit,Norway,Nordland,67.1013,15.0778, ,alkaline igneous,mafic to ultramafic intrusion, ,"REE, P, Th", , , , ,Deposit, ,fluorapatite,fluorapatite,"clinopyroxene, biotite, feldspar",Silurian,,Silurian,440 ± 30 Ma (Rb-Sr),clinopyroxenite,,,,,REE-bearing apatite comprises up to 10% by weight in pyroxenite of the Misvaerdal alkaline-ultrapotassic complex.,EURARE (2014e); Finland Geological Survey (2012); Ihlen and others (2014); Sadeghi and others (2014),,,,No production,,,,,30 estimated,0. 21 estimated,0.07,,,,,,,,,,,EURARE (2014e),Not compliant,,Europe
920,8312,Mittal-Hohtenn tunnel, , , ,site, ,Switzerland,Wallis Canton,46.3231,7.7569, ,unclassified, , ,"Cu, Mo, REE, Sc, W, Zn", , , , ,Showing, ,"allanite, gadolinite, monazite, xenotime, aeschynite","arsenopyrite, bazzite, chalcopyrite, cosalite, galena, galenobismutite, goethite, ilmenite, molybdenite, pyrite, pyrrhotite, scheelite, sphalerite","adularia, albite, almandine, asbestos, anatase, apatite, brookite, calcite, epidote, laumontite, muscovite, prehnite, quartz, rutile, siderite, titanite",,,,,,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
921,8175,Monte Camoscio,Mount Camoscio, , ,site,historic mine(?),Italy,Piemonte,45.9178,8.4806, ,other igneous deposit,pegmatites, ,"GRT, Be, REE, Sc", , , , ,Showing, ,"gadolinite, hingganite","beryl, thortveitite, babingtonite, bazzite, cascandite, jervisite, hematite, zinnwaldite","albite, biotite,, quartz, chlorite, fluorite, orthoclase, zeolite, zircon",,,,,"granite, aplite",,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
922,8150,Motzfeldt Sø,Motzfeldt,includes Aries Prospect,Igaliko complex,intrusion or complex,mineralization,Greenland,Kommune Kujalleq,61.1969,-44.979, ,alkaline igneous,peralkaline intrusion, ,"Nb, Ta, REE, U, Zr, Th", , , , ,Deposit, ,"pyrochlore, bastnäsite, hydropyrochlore, monazite, eudialyte","pyrochlore, columbite, zircon, thorite",,Mesoproterozoic,,Mesoproterozoic,1273 ± 6 Ma,"syenite, lujavrite, pegmatite",Motzfeldt Sø Fm,,hydrothermal,RAM Resources Ltd.,"Deposit is in Motzfeldt centre intrusion, one of the Igaliko nepheline syenite intrusions.",EURARE (2014c); GEUS and D'Appolonia (2017); Ollett (2012a); Sorensen and Kalvig (2011); Thrane and others (2014); Tukiainen (2014),1970's,,,No production,,,,,340 estimated,,0.26,,,,,,,,,"0.19% Nb2O3, 0.012% Ta2O3, 0.46% ZrO2",,Thrane and others (2014),Not compliant,,Europe
923,8124,Mount Helikon, , , ,district or area,bauxite field,Greece,Sterea Ellada,38.4156,22.6684, ,bauxite tailings,, ,"Al, REE", , , , ,Occurrence, ,REE-bearing red mud,,,,,,,"tailings (""red mud"")",,,,,REE are concentrated in the red mud waste generated by alumina production from bauxite through the Bayer process.,EURARE (2014a),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
924,8125,Mount Parnassus,Mount Parnassos,"includes Kaniani, Topolia, Variani, and Amphissa mines", ,district or area,bauxite field,Greece,Thessalia,39.0674,22.9615, ,bauxite tailings,"bauxite, tailings", ,"Al, REE", , , , ,Occurrence, ,"rhabdophane-(Ce), florencite-(Ce), Churchite-(Y), xenotime, REE-bearing red mud",,,,,,,"limestone, bauxite, tailings (""red mud"")",,,,,REE are concentrated in the red mud waste generated by alumina production from bauxite through the Bayer process.,Eliopoulos and others (2014); EURARE (2014a),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
925,8058,Naantali, , , ,site, ,Finland,Varsinais-Suomi lääni,60.4649,22.0239,Estimated location; deposit underlies town of Naantali.,carbonatite,carbonatite-associated, ,"Sr, REE", , , , ,Occurrence, ,allanite,"apatite, fluorite, titanite","chlorite, kaolin",Paleoproterozoic(?),,Paleoproterozoic,,"alkivite, pyroxene tonalite",,,fenitization,,Vein-dikes cut the schistosity of surrounding rocks.,Woodard and Hölttä (2005),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
926,8126,Nafpaktos,"Nafpactos, Naupaktos", , ,district or area,bauxite deposit,Greece,Dytiki Ellada,38.36222,21.7028, ,bauxite, , ,"Al, Cr, Fe, Ni, REE, Zr", , , , ,Occurrence, ,"anatase, zircon","boehmite, diaspore, gibbsite, goethite, hematite, anatase, rutile, pyrite","kaolinite, muscovite (illite), chamosite, quartz, zircon",Eocene,,Upper Eocene,,limestone,Gavrovo Zone,,"illitization, kaolinization",,Deposit is reported by Abedini and Calagari (2014) to contain a mean of 465 ppm TREE; Gavaro zone.,Abedini and Calagari (2014); Eliopoulos and others (2014); GEUS and D'Appolonia (2017); ProMine (2013); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
927,8151,Narssarssuaq,"Narssarssuk, Narsarsuk", , ,intrusion or complex,site,Greenland,Kommune Kujalleq,61.183,-45.417, ,carbonatite,carbonatite, ,REE, , , , ,Occurrence, ,ancylite,"fluorite, strontianite, epididymite","quartz, aegirine, albite, natrolite",,,,,"carbonatite, alkaline intrusive, tuffisite, ultrabasic rock",,,,,,Mariano (1989); Woolley (1987); Roskill Information Services (1988),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
928,8102,Neuland Quarry-Tiefer Bruch, , , ,site,aggregate mine,Germany,Sachsen,51.1892,14.775, ,other igneous deposit, , ,"AGG, Be, Nb, REE, Sc", , , , ,Showing, ,euxenite-(Y),"bertrandite, bazzite, columbite,cryptomelane, galena, ilmenite, sphalerite, titanoilmenite, anatase, titanite, zircon","almandine, epidote, spessartine",,,,,,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
929,8153,Niaqornakavsak, , ,Karrat,intrusion or complex, ,Greenland,Qaasuitsup Kommunia,71.6612,-52.8022, ,carbonatite, , ,REE,HREO + Y compose 13.06% of TREO, , ,ave 1.36% TREO,Occurrence, ,"bastnäsite-(Ce), monazite, allanite-(Ce)",,,Paleoproterozoic,,Paleoproterozoic,,"banded carbonates, amphibolite",Karrat Grp,,,Avannaa Resources,REE-enriched rocks consist of banded carbonate in amphibolite; mineralization extends 1.5 km along strike and dips 32 degrees; reported average TREO values of 0.8-1.5%.,EURARE (2014c); Sadeghi and others (2014); Sorensen and Kalvig (2011); Thrane and others (2014),2007,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
931,8278,Nol, , , ,site,historic mine,Sweden,Västra Götalands län,57.9138,12.0622, ,other igneous deposit,pegmatites, ,"FLD, REE", , , , ,Occurrence, ,"euxenite-(Y), samarskite, aechynite","feldspar, tantalite","epidote, quartz",,,,,,,,,,,ProMine (2013); Wik and others (2002),,,,No production,,,,Produced feldspar(?) 1860–1870.,,,,,,,,,,,,,,,,,Europe
932,8279,Norra Kärr, , , ,intrusion or complex, ,Sweden,Jönköpings län,58.1031,14.5678,15 km north-northeast of Gränna.,alkaline igneous,peralkaline igneous, ,"F, REE, Zr, Nb, Hf, FLD, Pb",Y, , , ,Deposit, ,"eudialyte, rinkite-mosandrite, britholite, britholite-(Ce), tritomite, rosenbuschite","zircon, catapleiite, fluorite, galena",nepheline,Mesoproterozoic,,Mesoproterozoic,1547 ± 62 Ma,"grännerite, peralkaline nepheline syenite, shonkinite, malignite, miaskite",,,,Tasman Metals Ltd. (2013),Eudialyte contains 1.3% Y.,"Castor (1994); EURARE (2014g); Gates and others (2013); ProMine (2013); Ollett (2012a); Ollett (2012d), Reed (2011); Tasman Metals (2012b); Watts (2012a)",,,,No production,,,,,"41.6 indicated, 16.5 inferred","0.237 indicated, 0.106 inferred","0.57 indicated, 0.64 inferred",,0.17,,,,,,,"1.71% ZrO2 indicated, 1.70% ZrO2 inferred",2013,Gates and others (2013),Not compliant,,Europe
933,8346,North Pennine, ,"Rotherhope Fell, Sir John's Vein, Crossgill, Windy Brow, Groverake, Redburn, Whiteheaps, Stotfield Burn, Cambokeels, Westernhope Old", ,district or area,Pb-Zn-F orefield,United Kingdom,England,54.8,-2.25, ,other igneous deposit,quartz veins,vein,"F, Pb, Bi, REE", , , , ,Occurrence, ,"synchysite, bastnäsite, monazite, xenotime","fluorite, galena, bismuthinite, argentopentlandite, cassiterite, cosalite, pyrrhotite, cubanite, chalcopyrite, pyrite","quartz, adularia, calcite",,,,,,,,,,REE minerals are associated with Bi-bearing quartz veins within the fluorite zone of the district.,EURARE (2014d); Ixer and others (1996),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
934,8280,Nothamn 1, , , ,site,historic feldspar mine,Sweden,Stockholms län,60.0307,18.8427, ,other igneous deposit,pegmatites, ,"FLD, REE", , , , ,Occurrence, ,"fergusonite, allanite","feldspar, molybdenite","quartz, muscovite",,,,,,,,,,,ProMine (2013); Wik and others (2004),,,,No production,,,,Produced feldspar 1912–1914,,,,,,,,,,,,,,,,,Europe
935,8154,Nunarssuit, , , ,intrusion or complex, ,Greenland,Kommune Kujalleq,60.9167,-47.6667, ,alkaline igneous, , ,REE, , , , ,Showing, ,,,,,,,,,,,,,,Charles and others (2013); GEUS (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
936,8281,Nya Bastnäs, ,"Ceritgruvan, Sankt Göransgruvan","Riddarhyttan district, Riddarhytte odalutmål mining field",district or area,historic REE-Fe-Cu mining,Sweden,Västmanlands län,59.83,15.564,Estimated location.,other igneous deposit,Fe oxide deposit with REE skarn, ,"Fe, Cu, REE, Mn, P", , , , ,Deposit,small deposit,"allanite-(Ce), cerite-(Ce), ferriallanite-(Ce), bastnäsite-(Ce), törnebohmite-(Ce), lanthanite-(Ce","magnetite, chalcopyrite, bismuthinite, molybdenite, carrollite, bornite, covellite, wittichenite, emplectite, hodrušite, tetradymite, kupcikite, native copper, bismuth","tremolite, talc",,,Paleoproterozoic,,"dolomitic carbonate rock, calc-silicate rock",,,,,,Finland Geological Survey (2012); Hallberg and others (2012); Holtstam (2004),,,,Past producer,Past producer of cerite.,"1860–1919, 1923",Hallberg and others (2012),150 t cerite was reportedly produced from 1860–1919; 825 t cerite was produced in 1923.,,,,,,,,,,,,,,,,,Europe
937,8282,Nye Stackebo, , , ,site,historic mine(?),Sweden,Västra Götalands län,57.3725,13.0199, ,other igneous deposit,pegmatites, ,"FLD, Be, Nb, REE", , , , ,Occurrence, ,euxenite-(Y),"beryl, columbite, feldspar, kasolite, quartz, torbernite, fluorapatite, autunite, zircon, uranophange",,Neoproterozoic,,Neoproterozoic,,pegmatite,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
938,8283,Nytorp,Edeby, , ,site(?), ,Sweden,Stockholms län,59.9968,18.8132, ,other igneous deposit,pegmatite, ,"FLD, REE", , , , ,Showing, ,"yttrotantalite-(Y), fergusonite","feldspar, quartz","analcime, biotite, garnet",,,,,,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
939,8205,Ødegården,Ødegårdens Verk, , ,site, ,Norway,Telemark,58.9611,9.5572, ,other igneous deposit, ,"disseminated, veins","Ti, REE", , , , ,Occurrence, ,"apatite, monazite","rutile, ilmenite, magnetite, pyrrhotite, pentlandite, chalcopyrite, pyrite, V-phlogopite","phlogopite, scapolite",Devonian,,Mesoproterozoic,,gabbro,,amphibolite,,,Historic titanium mine (1872-1945); apatite contains as much as 3000 ppm REE; dikes formed from magmatic hydrothermal replacement.,British Sulphur Corp. Ltd. (1987); Bugge (1978); Finland Geological Survey (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
940,8284,Olden, , , ,intrusion or complex(?), ,Sweden,Jämtlands län,63.4144,13.3827, ,other igneous deposit, , ,"REE, Ta, Th, U", , , , ,Occurrence, ,"fergusonite, monazite","thorite, uranophane, formanite-(Y)","anatase, rutile, quartz",,,,,,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
941,8177,Olmedo, , , ,site, ,Italy,Sardegna,40.649,8.4019, ,bauxite; supergene,"karst bauxite—Mediterranean type, laterite", ,"Al, REE", , , , ,Occurrence, ,bastnäsite,,,Cretaceous,,Cretaceous,,reef limestone,,,,,,Deady and others (2014); GEUS and D'Appolonia (2017); ProMine (2013); Sadeghi and others (2014),,,open pit,No production,Operating bauxite mine.,,,,,,,,,,,,,,,,,,,,Europe
942,8285,Olserum,Olserum SV, , ,district or area,geologic deposit,Sweden,Kalmar län,57.948359,16.352331, ,other igneous deposit,"hydrothermal deposit, apatite-magnetite veins, Kiruna-related, placer", ,"U, REE", , , , ,Deposit,small deposit,"xenotime-(Y), monazite-(Ce), fluorapatite, allanite-(Ce)","magnetite, apatite",biotite,Paleoproterozoic,,Paleoproterozoic,,sedimentary quartz-feldspar gneiss,,,,Tasman Metals Ltd. (2013),Deposits appear to be epigenetic.,EURARE (2014g); Finland Geological Survey (2012); Reed (2013); Sadeghi and others (2014); Tasman Metals Ltd. (2013),,,,No production,,,,,"4.5 indicated, 3.3 inferred",,"0.6 indicated, 0.63 inferred",,0.4,,,,,,,,2013,Reed (2013),,,Europe
943,8288,Östra Gyttorp,Östra Gyttorpsgruvan, , ,site,historic Fe mine,Sweden,Örebro län,59.515224,14.95871, ,other igneous deposit,"skarn, replacement", ,"Cu, Fe, Mo, REE", , , , ,Occurrence(?), ,"allanite-(Ce), bastnäsite, gadolinite, parisite-(Ce)","chalcopyrite, magnetite",,Paleoproterozoic,,Paleoproterozoic,,"iron formation, calc-silicate rock",,,,,,EURARE (2017); Finland Geological Survey (2012); Jonsson and others (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
944,8059,Otanmäki, ,"Katajakangas, Kontioaho", ,district or area,district or area,Finland,Kainuu lääni,64.1006,27.0743,Estimated location.,unclassified, , ,"Nb, REE", , , , ,Deposit(?), ,"fergusonite-(Y), fergusonite-(U), allanite-(Ce), columbite",columbite,,,,,,"gneiss, alkaline gneissic granite",,,,Tasman Metals Ltd. (2015),Up to 2.4% REE in alkaline gneiss; active reserves development (2015).,Al-Ani and others (2010b); Al-Ani and Pakkanen (2013); Al-Ani and Sarapää (2013); Al-Ani and Sarapää (2014a); Sarapää and others (2013); SNL Metals & Mining (2015),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,Europe
945,8060,Palkiskuru, , ,Enontekiö,site, ,Finland,Lapin lääni,68.641,22.032,Estimated location.,other igneous deposit, , ,REE, , , , ,Showing, ,"apatite, allanite-(Ce), bastnäsite, monazite, ancylite, davidite-(Ce), xenotime, masuyite, sayrite, zircon","apatite, davidite, masuyite, sayrite, rutile, zircon, chromite, titanite, pyrite",epidote,,,,,albitite,,,,,,Al-Ani and others (2010a); Al-Ani and Sarapää (2013); Al-Ani and Sarapää (2014a); Sarapää and others (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
946,8061,Palovaara, , ,Enontekiö,site, ,Finland,Lapin lääni,68.5097,22.0988,Estimated location.,other igneous deposit, , ,REE, , , , ,Showing, ,"allanite-(Ce), ancylite, bastnäsite, xenotime",,,,,,,"albite-carbonate rock, altered volcanic rock",,,,,,Al-Ani and Sarapää (2013); Sarapää and others (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
947,8129,Panormos - Skopelos Island, , , ,district or area, ,Greece,Thessalia,39.1075,23.6756, ,bauxite, , ,"Al, Cr, Fe, Ni, REE, Zr", , , , ,Occurrence, ,"alunite, rutile","anatase, chromite, diaspore, hematite","alunite, muscovite (illite), kaolinite, paragonite, rutile, sericite, chamosite",Jurassic,,Jurassic,,limestone,Pelagonian zone,,kaolinization,,,EURARE (2017); GEUS and D'Appolonia (2017); ProMine (2013); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
948,8327,Perzhanskoe, , , ,district or area(?), ,Ukraine,Zhytomyrs'ka Oblast',51.2987,27.8542, ,alkaline igneous, , ,"Be, Ta, Nb, REE", , , , ,Occurrence, ,,,,,,,,alkaline granite(?),,,metasomatism,,,Rundkvist and others (2001),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
949,8062,Petäikkö-Suvantovaara, , , ,intrusion or complex, ,Finland,Lapin lääni,65.9389,27.6934, ,carbonatite, ,dikes,"P, REE", , , , ,Showing, ,"monazite, allanite",apatite,,Paleoproterozoic,,Paleoproterozoic,2000 Ma,carbonatite,,Paleoproterozoic mafic volcanic rocks,,,,Lintinen (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
950,8130,Petralona, , , ,district or area, ,Greece,Kentriki Makedonia,40.3678,23.1722, ,bauxite, , ,"Al, Cr, Fe, Ni, REE, Zr", , , , ,Occurrence, ,anatase,"anatase, boehmite, diaspore, goethite, hematite","chlorite, quartz, rutile, sericite, chamosite",Jurassic,,Jurassic,,limestone,Serbomacedonian zone,,kaolinization,,,EURARE (2017); GEUS and D'Appolonia (2017); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
